ID,Ejercicio 1 (20%),Ejercicio 2 (20%),Ejercicio 3 (20%),60.00%
201223615,5,5,5,5
201325845,5,5,5,5
201325858,3,0,0,1
201423229,5,5,5,5
201224162,4.6,5,0,3.2
201126968,5,5,5,5
201224382,4.9,5,5,4.9666666667
201224448,5,0,3.8,2.9333333333
201314329,5,5,5,5
201414158,5,4.8,5,4.9333333333
201312866,5,5,5,5
201423821,5,5,5,5
201127046,3.2,5,5,4.4
201415788,5,5,5,5
201512125,5,5,5,5
200724258,0,3.2,0,1.0666666667
201424126,2.7,5,5,4.2333333333
201317958,3.5,0,0,1.1666666667
201328806,5,5,5,5
201328428,4,5,0,3
201327888,5,5,5,5
